component,oxalic acid,lactic acid,Alanine,glycine,alpha-hydroxyisobutyric acid,N-acetylglycine,acetic acid,beta-hydroxyisobutyric acid,Valine,2-aminobutyric acid,Urea,Leucine,Phosphoric acid,glycerin,isoleucine,Proline,Glyceric acid ester,Glyceric acid,isosuccinic acid,Fumarate,Serine,Threonine,Amino malonic acid,Pyroglutamic acid,"2,3,4-trihydroxybutyric acid",citrulline,glutamate,Phenylalanine,ribitol,Lysine,hypoxanthine,Ornithine,Citrate,"1,5-dehydrated sorbitol",fructose,galactose,glucose,Mannose,Tyrosine,allonic acid,alpha-D-galactose pyranose,9-hexadecenoic acid,Palmitic acid,Inositol,Uric Acid,tryptophan,linoleic acid,oleic acid,stearic acid,arachidonic acid,Palmitate glyceride,Glyceryl Monostearate,Cholesterol
n101,17324446,72378848,7357679,5993733,2611617,3044247,1919870.125,2489270,5290117,4022718.5,5255624.5,6482970.5,0,2582650,2420962.5,3868430.5,2704952.75,1444503,1900193,1983558.875,3483447,4032329.25,1497946.25,7185744,1641016.875,2603530.5,2279826,2707961.75,1660119.5,2571742.5,2248121.25,0,2586575.75,6097602,2744860.5,2735985.5,123292816,21896624,2440936.25,2110592,1819647.5,2434131,8620634,1979780,2587708.25,0,7128289,5392086,4584548,1949821.5,2755602.5,0,10214000
n102,16434975.32,61123024.49,6193888,4608082.5,2931893.5,2862089.5,2002409.75,3036162.25,5969732,3683721,25631540.66,3286095.75,5975136.5,0,2641552.75,3350220,3213563.25,2919353.5,1612922,2143595.5,3185593,3946495.75,1903162.5,8022212,1518931,2477400.25,2521949.25,2685804.5,2144534,2437649.75,2391979.75,0,2620910,5267729.5,2174986.5,2504822.5,104279360,18871230,2144310.25,1965363.875,1563553.5,2485979.25,9022923,1908146.875,3783579.75,0,7338737.5,6191785,4451966.5,1742002.5,2881874,0,12535506
n104,18413759.06,80085288,8163374,5305022,3017387.5,3011622.5,2062188.125,2331838.25,6407452.5,3909888.25,24744029.57,3585979.5,6316502.5,0,2692043,5556932,2594059.25,2632161.5,2130353.75,1672902.25,3456021.75,4280602.5,1431616,9475714,1945487,2893307.5,2338723.5,3014105,2438215.25,2778566.25,2692292.25,0,3143851.75,7280187,2272093.5,2601224.75,122523672,21784324,2368588.25,2092180.125,1588102.625,2255023.75,8022214,2144151.25,4133541.25,6957917,0,5323847.5,4799863,1982601.375,3058328,0,10905868
n105,16208315.2,90035344,7036877,5026917,2427821.25,2814679.5,2020934.625,2753695.25,5616294,3695757.25,11198246,3153870.138,5023080.774,2611073.448,2560034.25,4288813,3117172.25,993239.4375,1811249.25,2397519.75,3695858.25,4238210,1286457.5,9113833,1902566.125,2740889,2717748.25,2897271.75,2531140.25,2824045,2571014.5,0,2870414.75,5597528,2214017.5,2527154.25,92271496,16187242,2394393.5,1918139.625,0,2842573.5,9567980,1706052.375,2277056.25,0,7682567,7227527.5,4813679,2748588.75,2714054.25,2432018.25,10484735
n109,15326098,68435528,6809060,4505451.5,2616469.25,2865934.25,1765361.625,2631200,4506053,3520673.25,5811006.5,5861521.5,0,2681781,2354486.5,3521653.75,2181202.25,1093576.875,2113590.5,1710712.125,2823903.25,3400343.5,1220081,8058232,2849965.25,2331969.25,2576068,2618418,2407717,2521959.25,2772871,0,2360036.75,6095615,2151223,2512147.25,104578728,18978122,2030881.375,1943512.625,0,2465969,8882621,1966943.375,2669064.25,0,6718484,6696633,4446867,1864345.625,2533352.5,0,10681386
n111,17018676,65232624,6929757,3422896,2942913.25,2916420.75,2342308.5,2528422.5,4953958,2948770.25,32802478,0,3082390,5684064.5,2392250,4679666,3430703.75,3208176.25,2055329.5,0,2844225,3297853,2432876.25,5895388,1432631.625,2792249.5,2769734.5,2654802,2430431.25,2535556.75,2725513.5,0,2847725.25,6134679,1488849,2583529.5,98273824,18647730,2191035.75,1992545.125,0,2405775.75,8236538.5,2134055.25,7016079,0,6421599,6064436,4015835.5,2003854.125,2871984.5,0,12850025
n113,17083642.69,88227192,8200212.5,4168637.5,2865551,2948890.25,1931376,2112464.25,5363252,3768879.5,6307947,6013831,0,2464733,2679619.25,3944845.5,3149787.75,2886947,2116735,1978823.125,2699904.25,3890166.25,1878847.25,7388025,1828483.5,2428465,2336594,2777201.5,1878811.625,2411245.5,2397866.5,0,2701866.75,6379074,2328398,2701422.75,94936104,16876416,2282981.75,2117682.75,0,2554054.5,8030887,2005287.625,5332248,0,6030560,5564924,4579364.5,3054172.25,2895816.75,2591681.5,12345063
n116,18402632,87665920,9914710,5367665,2907791.5,2835298.5,2020529.375,2177616,7041976,3919240.5,13331752,9471323,0,9471323,2777005.75,4457746.5,2889775,1316717.375,1805293.375,1543087.25,3792496.25,4425820.5,1833096.625,7680636,5089710,2787621,2869923,2971668,2394166.5,3147999.5,2313690.5,3100197,0,8219143.5,2133565,2745202,159831040,29872742,2257035.5,2468675.25,1762063,2571971,9102243,1849566.5,5230059,6433794.5,0,5889227,5343075,1990483,2755137.25,2517980.25,16890744
n117,16651399.63,98215528,8344847.5,3991301.75,3509065,2780045,1943206,2410737.25,6040604,3568168.5,19650053.04,5717266.902,0,4104018.183,2826127.75,3787375,1823372.625,2731678.75,2028844.375,1761199,3013950.75,3855511,2066195.75,7036412.5,1836532,2801567,2910795.25,2904639.5,2457114,2941174.25,2717093.5,0,2520016.75,4364401,2251474,2606495.25,116034488,21468402,2811948,2048284.75,1893208.625,2358944,10512356,1758260.625,3752313.25,0,7068456,6102034,5014933,1834176.375,2717689.75,0,11461729
n118,15459601,98472512,9788220,4362015,3110254.5,2814869.25,1839857.875,2087060.25,5495004,3559968,15773341.91,2991178.227,3823125.692,3033548.361,2597103.75,4880743,1962897.25,2537649.5,1703190.75,2142804.25,3036427.75,3528582.25,3583745,8096496,1653177.75,2768129.5,2802186.25,2664869,1763289.375,2685158.75,2824897.25,0,2813836,3413866.25,2168838,2400447.5,107060952,19316010,2205239.75,2009742.125,1833695.125,2440674.5,7933058,1981171,2992186.5,0,5952706.5,5659859,4409465,2999330.75,2821911.75,0,11082418
n120,19949967.45,110490504,10238919,4180670,3005963.75,2947963.75,2483887.5,2163618.5,6407374.5,3818518.75,22738756.11,0,6915008.5,2441238,3000916.25,5618794.5,3411002.75,1022139.813,1814719.25,2040853.875,3157844.5,3827495.5,1721619.75,8124099.5,1728342.625,2906392,2698409.5,2857311.25,2468543.75,2611564.75,2649308,0,3287129.5,5380587.5,2324126.25,2370662.5,88840536,14999078,2350642.75,2017824.625,0,2532978.5,9170946,2056014.625,3637889.25,0,7168841,5262655,4761601.5,1765784.25,2790938,2519735,12139719
