num,RT_st,RT_ed,R2,PA
1,3.60333,3.66,0.97906,1709674.9
2,4.77,4.82333,0.99455,2281459.0
3,5.31667,5.37,0.9848,1726205.4
4,5.83667,5.89333,0.99677,2744247.0
5,6.34,6.39,0.98996,1695563.2
6,6.76333,6.81667,0.96958,1692699.9
7,6.81,6.86333,0.99736,2759807.8
8,7.21667,7.31333,0.98494,3689286.8
9,7.61333,7.66667,0.9678,1717537.0
10,7.68667,7.74333,0.99873,3960092.2
11,8.02667,8.08333,0.96719,1740213.8
12,8.1,8.15667,0.98898,1791061.6
13,8.34667,8.4,0.9419,1673282.4
14,8.41,8.50667,0.9737,7736303.5
15,8.53,8.58667,0.99668,2940146.2
16,9.20667,9.35333,0.92345,5752998.0
17,9.38667,9.48333,0.97497,5236147.5
18,9.53333,9.60333,0.99413,3330463.8
19,10.17,10.23667,0.97646,2212772.2
20,10.39667,10.47,0.81447,2249224.0
21,10.71667,10.81667,0.94427,4026743.5
22,10.92333,11.01,0.98911,3802760.8
23,11.87,11.95,0.95105,2807109.2
24,12.76,12.85333,0.85238,3347433.2
25,13.04333,13.14,0.97905,4200602.0
