#number,rt,peak area,COM,R2,SNR
1,3.63,1709674.875,1,0.9790575988981807,6.38
2,4.79,2281459.0,1,0.9945501545867044,12.31
3,5.34667,1726205.375,1,0.9847973352271938,7.17
4,5.86667,2744247.0,1,0.9967703030651244,16.5
5,6.36667,1695563.25,1,0.9899645688274122,9.46
6,6.79,1692699.875,1,0.9695758090191349,8.58
7,6.83667,2759807.75,1,0.9973570929916926,12.14
8,7.24667,1866370.0,2,0.984944178196169,9.06
9,7.28667,1822916.5,2,0.984944178196169,9.54
10,7.64333,1717537.0,1,0.9677980572333125,9.65
11,7.71667,3960092.25,1,0.9987298714932008,25.29
12,8.05667,1740213.75,1,0.9671945427169625,9.55
13,8.13,1791061.625,1,0.9889843196991823,10.0
14,8.37333,1673282.375,1,0.9419041114039173,5.44
15,8.43667,1741264.1038140678,3,0.973702225313587,7.5
16,8.46333,4726128.626572406,3,0.973702225313587,25.26
17,8.48333,1268910.9839924756,3,0.973702225313587,12.32
18,8.56,2940146.25,1,0.9966802928408375,15.72
19,9.23667,1829060.75,3,0.9234464427328402,7.32
20,9.27667,1931641.0,3,0.9234464427328402,6.61
21,9.32333,1992296.0,3,0.9234464427328402,7.06
22,9.42,1786530.0,3,0.9749718638570496,7.9
23,9.44333,1363796.125,3,0.9749718638570496,9.14
24,9.46,2085821.5,3,0.9749718638570496,8.63
25,9.57,3330463.75,1,0.9941256269771666,10.81
26,10.20333,2212772.25,1,0.9764583003923285,9.2
27,10.43333,2249224.0,1,0.8144655270454425,4.72
28,10.76,1955912.5,2,0.9442719079869524,7.11
29,10.78333,2070831.375,2,0.9442719079869524,7.79
30,10.97,3802760.75,1,0.9891116830166242,13.28
31,11.91,2807109.25,1,0.9510534795569626,6.37
32,12.81,3347433.25,1,0.8523813072371593,5.29
33,13.09333,4200602.0,1,0.9790540094462044,9.42
